;Name;Age;Value
1319;Sebastian Prödl;33;€ 700K
1320;Samuel Di Carmine;31;€ 2.0M
1321;Mattia Sprocati;27;€ 3.0M
1322;Andrea Rispoli;31;€ 1.0M
1323;Giulio Maggiore;22;€ 2.0M
1324;Bram Nuytinck;30;€ 2.0M
1325;Pawel Dawidowicz;25;€ 2.0M
1326;Eduardo Henrique;25;€ 2.0M
1327;Sofian Kiyine;22;€ 2.0M
1328;Mato Jajalo;32;€ 2.0M
1329;Karlo Letica;23;€ 1.0M
1330;Matteo Scozzarella;32;€ 2.0M
1331;Daniele Verde;24;€ 3.0M
1332;Arturo Calabresi;24;€ 3.0M
1333;Federico Barba;26;€ 3.0M
1334;Simone Colombi;29;€ 2.0M
1335;Luca Marrone;30;€ 2.0M
1336;Federico Mattiello;25;€ 3.0M
1337;Jacopo Segre;23;€ 2.0M
1338;Giovanni Crociata;22;€ 1.0M
1339;Nicolás Schiappacasse;21;€ 2.0M
1340;Ibrahima Mbaye;25;€ 3.0M
1341;Jacopo Dezi;28;€ 2.0M
1342;Djavan Anderson;25;€ 4.0M
1343;Ivan Ilic;19;€ 2.0M
1344;Nahuel Molina Lucero;22;€ 2.0M
1345;Diego Farias;30;€ 3.0M
1346;Ardian Ismajli;23;€ 2.0M
1347;Edoardo Goldaniga;26;€ 3.0M
1348;Jacopo Sala;28;€ 3.0M
1349;Gabriele Moncini;24;€ 2.0M
1350;Vasco Regini;29;€ 1.0M
1351;Niccolò Zanellato;22;€ 1.0M
1352;Riccardo Marchizza;22;€ 1.0M
1353;Pedro Pereira;22;€ 900K
1354;Valentin Mihaila;20;€ 1.0M
1355;Tòfol Montiel;20;€ 800K
1356;Walace;25;€ 3.0M
1357;Nícolas;32;€ 1.0M
1358;Ahmad Benali;28;€ 2.0M
1359;Martin Erlic;22;€ 2.0M
1360;Matteo Ricci;26;€ 2.0M
1361;Fabrizio Caligara;20;€ 2.0M
1362;Nikita Contini;24;€ 1.0M
1363;Giuseppe Cuomo;22;€ 1.0M
1364;Léo Sena;24;€ 1.0M
1365;Zito;18;€ 1.0M
1366;Michael Kingsley;20;€ 1.0M
1367;Salvatore Molina;28;€ 2.0M
1368;Alessandro Tripaldelli;21;€ 1.0M
1369;Daniele Padelli;34;€ 200K
1370;Titas Krapikas;21;€ 800K
1371;Vanja Milinkovic-Savic;23;€ 1.0M
1372;Rafael;38;€ 100K
1373;Riccardo Improta;26;€ 3.0M
1374;Gianluca Pegolo;39;€ 100K
1375;Emmanuel Gyasi;26;€ 2.0M
1376;Alberto Cerri;24;€ 2.0M
1377;Luca Siligardi;32;€ 1.0M
1378;Claudio Terzi;36;€ 100K
1379;Marko Pajac;27;€ 2.0M
1380;M'Bala Nzola;23;€ 2.0M
1381;Alessandro Tuia;30;€ 1.0M
1382;Vittorio Parigini;24;€ 2.0M
1383;Pierre Kalulu;20;€ 800K
1384;Salva Ferrer;22;€ 1.0M
1385;Nahuel Estévez;24;€ 2.0M
1386;Andrey Galabinov;31;€ 1.0M
1387;Pietro Terracciano;30;€ 1.0M
1388;Antonio Di Gaudio;30;€ 1.0M
1389;Ivan Provedel;26;€ 1.0M
1390;Alessandro Buongiorno;21;€ 400K
1391;Juan Ramos;23;€ 1.0M
1392;Cristian Dell'Orco;26;€ 1.0M
1393;Guglielmo Vicario;23;€ 1.0M
1394;Vladimir Golemic;29;€ 1.0M
1395;Antonino La Gumina;24;€ 2.0M
1396;Marco Tumminello;21;€ 2.0M
1397;Hans Nicolussi Caviglia;20;€ 900K
1398;Petar Brlek;26;€ 1.0M
1399;Alex Cordaz;37;€ 100K
1400;Samir Ujkani;32;€ 200K
1401;Luigi Vitale;32;€ 300K
1402;Paolo Bartolomei;30;€ 2.0M
1403;Alberto Paleari;27;€ 800K
1404;Roberto Piccoli;19;€ 400K
1405;Erick Ferigra;21;€ 300K
1406;Mattia Mustacchio;31;€ 900K
1407;Gennaro Acampora;26;€ 1.0M
1408;Davide Di Gennaro;32;€ 300K
1409;Ângelo da Costa;36;€ 40.0K
1410;Karim Laribi;29;€ 1.0M
1411;Simone Bastoni;23;€ 1.0M
1412;Luca Mora;32;€ 600K
1413;Boris Radunovic;24;€ 600K
1414;Maxime Busi;20;€ 1.0M
1415;Lorenzo Del Pinto;30;€ 900K
1416;Luca Vignali;24;€ 900K
1417;Massimo Volta;33;€ 300K
1418;Antonio Rosati;37;€ 30.0K
1419;Andri Fannar Baldursson;18;€ 400K
1420;Antonio Mazzotta;30;€ 1.0M
1421;Carlo Pinsoglio;30;€ 800K
1422;Dani Parejo;31;€ 30.0M
1423;Jesús Navas;34;€ 2.0M
1424;Marco Asensio;24;€ 40.0M
1425;Dani Carvajal;28;€ 30.0M
1426;Alexander Isak;20;€ 9.0M
1427;Claudio Bravo;37;€ 800K
1428;Maxi Gómez;23;€ 30.0M
1429;Samuel Umtiti;26;€ 30.0M
1430;Gonçalo Guedes;23;€ 30.0M
1431;José Gayà;25;€ 30.0M
1432;Pau Torres;23;€ 20.0M
1433;Ángel Correa;25;€ 40.0M
1434;Éder Militão;22;€ 20.0M
1435;Raúl García;34;€ 8.0M
1436;Iker Muniain;27;€ 40.0M
1437;Mikel Merino;24;€ 30.0M
1438;Iago Aspas;33;€ 10.0M
1439;Carlos Soler;23;€ 30.0M
1440;Marcelo;32;€ 10.0M
1441;Nabil Fekir;27;€ 30.0M
1442;Ferland Mendy;25;€ 20.0M
1443;William Carvalho;28;€ 30.0M
1444;Marcos Llorente;25;€ 30.0M
1445;Vinícius Júnior;20;€ 20.0M
1446;Álvaro Odriozola;24;€ 20.0M
1447;Raúl Albiol;34;€ 2.0M
1448;Suso;26;€ 30.0M
1449;Neto;31;€ 20.0M
1450;Gabriel Paulista;29;€ 20.0M
1451;Iñigo Martínez;29;€ 30.0M
1452;Mario Hermoso;25;€ 20.0M
1453;Sergio Canales;29;€ 30.0M
1454;Lucas Ocampos;26;€ 30.0M
1455;Francisco Trincão;20;€ 10.0M
1456;José Campaña;27;€ 30.0M
1457;Pedri;17;€ 10.0M
1458;Lucas Torreira;24;€ 30.0M
1459;Asier Illarramendi;30;€ 20.0M
1460;Yuri;30;€ 20.0M
1461;Vitolo;30;€ 20.0M
1462;Stefan Savic;29;€ 20.0M
1463;Adnan Januzaj;25;€ 20.0M
1464;Yeray;25;€ 20.0M
1465;Sergio Asenjo;31;€ 20.0M
1466;Nacho;30;€ 20.0M
1467;Munir;24;€ 20.0M
1468;Marc Cucurella;22;€ 20.0M
1469;Felipe;31;€ 20.0M
1470;Samuel Chukwueze;21;€ 10.0M
1471;Héctor Herrera;30;€ 20.0M
1472;Francis Coquelin;29;€ 20.0M
1473;Jasper Cillessen;31;€ 20.0M
1474;Portu;28;€ 30.0M
1475;Nolito;33;€ 3.0M
1476;Gerónimo Rulli;28;€ 10.0M
1477;Diego Carlos;27;€ 20.0M
1478;Geoffrey Kondogbia;27;€ 20.0M
1479;Paco Alcácer;26;€ 30.0M
1480;Willian José;28;€ 20.0M
1481;Renan Lodi;22;€ 20.0M
1482;Mariano;27;€ 20.0M
1483;Marc Bartra;29;€ 20.0M
1484;Óliver;25;€ 20.0M
1485;Joaquín;39;€ 1.0M
1486;Ezequiel Ávila;26;€ 20.0M
1487;Dani García;30;€ 20.0M
1488;Emerson;21;€ 10.0M
1489;Sime Vrsaljko;28;€ 20.0M
1490;Álex Remiro;25;€ 20.0M
1491;Borja Iglesias;27;€ 20.0M
1492;Denis Suárez;26;€ 20.0M
1493;Ilaix Moriba;17;€ 2.0M
1494;Djene Dakonam;28;€ 20.0M
1495;Tomas Vaclik;31;€ 10.0M
1496;José Morales;33;€ 7.0M
1497;Gerard Moreno;28;€ 20.0M
1498;Rubén García;27;€ 10.0M
1499;Mario Gaspar;29;€ 10.0M
1500;Unai Núñez;23;€ 10.0M
1501;Óscar;22;€ 10.0M
1502;Igor Zubeldia;23;€ 20.0M
1503;Franco Vázquez;31;€ 10.0M
1504;Sergiño Dest;19;€ 10.0M
1505;Kevin Gameiro;33;€ 6.0M
1506;Hugo Mallo;29;€ 20.0M
1507;Moi Gómez;25;€ 9.0M
1508;Carlos Bacca;33;€ 2.0M
1509;Daniel Wass;31;€ 10.0M
1510;Robin Le Normand;23;€ 5.0M
1511;Mouctar Diakhaby;23;€ 10.0M
1512;Nacho Monreal;34;€ 2.0M
1513;David Soria;27;€ 10.0M
1514;Lucas Vázquez;29;€ 10.0M
1515;Rubén Blanco;25;€ 9.0M
1516;Riqui Puig;20;€ 4.0M
1517;Marcos Acuña;28;€ 20.0M
1518;Fernando;33;€ 7.0M
1519;Ander Capa;28;€ 20.0M
1520;Sídnei;30;€ 10.0M
1521;Ronald Araújo;21;€ 5.0M
1522;Yangel Herrera;22;€ 20.0M
1523;Joan Jordán;26;€ 20.0M
1524;Vicente Iborra;32;€ 7.0M
1525;Ander Barrenetxea;18;€ 6.0M
1526;Guido Rodríguez;26;€ 20.0M
1527;Nehuén Pérez;20;€ 6.0M
1528;Aïssa Mandi;28;€ 10.0M
1529;Takefusa Kubo;19;€ 7.0M
1530;Enis Bardhi;25;€ 20.0M
1531;Domingos Duarte;25;€ 10.0M
1532;Santi Mina;24;€ 20.0M
1533;Unai López;24;€ 10.0M
1534;Martín Zubimendi;21;€ 10.0M
1535;Manu Trigueros;28;€ 10.0M
1536;Carles Aleñá;22;€ 8.0M
1537;Youssef En-Nesyri;23;€ 10.0M
1538;Yassine Bounou;29;€ 10.0M
1539;Andrés Guardado;33;€ 4.0M
1540;Kieran Trippier;29;€ 10.0M
1541;Jony;29;€ 10.0M
1542;Aritz Elustondo;26;€ 20.0M
1543;Cristian Tello;28;€ 10.0M
1544;Nemanja Maksimovic;25;€ 10.0M
1545;Rúben Vezo;26;€ 10.0M
1546;Jota;21;€ 3.0M
1547;Júnior Firpo;23;€ 10.0M
1548;Lucas;31;€ 8.0M
1549;Miguel Ángel Moyà;36;€ 1.0M
1550;Fran Beltrán;21;€ 8.0M
1551;Roberto Soldado;35;€ 400K
1552;Luis Suárez;22;€ 9.0M
1553;Néstor Araujo;28;€ 10.0M
1554;Juanmi;27;€ 10.0M
1555;Andoni Gorosabel;23;€ 10.0M
1556;Alberto Moreno;27;€ 10.0M
1557;Sergio Escudero;30;€ 9.0M
1558;Brais Méndez;23;€ 10.0M
1559;Víctor Ruiz;31;€ 7.0M
1560;Mauro Arambarri;24;€ 10.0M
1561;Sergi Gómez;28;€ 10.0M
1562;Javi Ontiveros;22;€ 8.0M
1563;Roberto Torres;31;€ 5.0M
1564;Jaume Costa;32;€ 5.0M
1565;Fernando Pacheco;28;€ 10.0M
1566;Jaume Domènech;29;€ 10.0M
1567;Óscar De Marcos;31;€ 4.0M
1568;Oriol Busquets;21;€ 4.0M
1569;Martin Braithwaite;29;€ 10.0M
1570;Maxime Gonalons;31;€ 8.0M
1571;Luuk de Jong;29;€ 20.0M
1572;Andrés Fernández;33;€ 6.0M
1573;Iñigo Córdoba;23;€ 10.0M
1574;Fabián Orellana;34;€ 1.0M
1575;Álex Berenguer;25;€ 10.0M
1576;Joseba Zaldua;28;€ 10.0M
1577;Roque Mesa;31;€ 9.0M
1578;Pedro León;33;€ 2.0M
1579;Aleix Vidal;30;€ 8.0M
1580;Pablo Maffeo;23;€ 6.0M
1581;Alejandro Pozo;21;€ 4.0M
1582;Jeison Murillo;28;€ 6.0M
1583;Juan Hernández;21;€ 10.0M
1584;Pervis Estupiñán;22;€ 8.0M
1585;Diego Laínez;20;€ 3.0M
1586;Ivo Grbic;24;€ 8.0M
1587;Joris Gnagnon;23;€ 9.0M
1588;Jason;26;€ 10.0M
1589;Rubén Peña;29;€ 9.0M
1590;Aitor Fernández;29;€ 9.0M
1591;Sergio Gómez;19;€ 2.0M
1592;Marko Dmitrovic;28;€ 7.0M
1593;Ramiro Funes Mori;29;€ 7.0M
1594;Jaime Mata;31;€ 6.0M
1595;Loren;26;€ 10.0M
1596;Sandro;25;€ 10.0M
1597;Àlex Collado;21;€ 4.0M
1598;Jonathan Calleri;26;€ 8.0M
1599;Nikola Vukcevic;28;€ 7.0M
1600;Eliaquim Mangala;29;€ 7.0M
1601;Paulo Oliveira;28;€ 7.0M
1602;Martín Montoya;29;€ 4.0M
1603;Miguel Baeza;20;€ 700K
1604;Okay Yokuslu;26;€ 10.0M
1605;Nemanja Radoja;27;€ 9.0M
1606;Lucas Olaza;26;€ 4.0M
1607;Takashi Inui;32;€ 7.0M
1608;Rui Silva;26;€ 5.0M
1609;Oier;34;€ 500K
1610;Pedro Mosquera;32;€ 5.0M
1611;Roger Martí;29;€ 10.0M
1612;Edgar Badía;28;€ 7.0M
1613;Víctor Camarasa;26;€ 7.0M
1614;Manu Vallejo;23;€ 10.0M
1615;Carlos Fernández;24;€ 10.0M
1616;Alfonso Pedraza;24;€ 8.0M
1617;Aihen Muñoz;22;€ 7.0M
1618;Álvaro Fernández;22;€ 3.0M
1619;Nemanja Gudelj;28;€ 10.0M
1620;Denis Cheryshev;29;€ 10.0M
1621;Edu Expósito;24;€ 8.0M
1622;Ander Guevara;23;€ 8.0M
1623;Nacho;31;€ 5.0M
1624;Jon Morcillo;21;€ 7.0M
1625;Juan Foyth;22;€ 20.0M
1626;Kang-In Lee;19;€ 10.0M
1627;Rubén Rochina;29;€ 8.0M
1628;Iago Herrerín;32;€ 6.0M
1629;Luis Milla;25;€ 8.0M
1630;Jesús Vallejo;23;€ 5.0M
1631;Andriy Lunin;21;€ 1.0M
1632;Oussama Idrissi;24;€ 6.0M
1633;Pape Diop;34;€ 800K
1634;Shinji Okazaki;34;€ 1.0M
1635;Sergio Álvarez;33;€ 2.0M
1636;Emre Mor;23;€ 4.0M
1637;Augusto Fernández;34;€ 500K
1638;Allan Nyom;32;€ 4.0M
1639;Sergi Enrich;30;€ 8.0M
1640;Roberto;34;€ 2.0M
1641;Toni Lato;22;€ 4.0M
1642;Rafa Mir;23;€ 9.0M
1643;Darko Brasanac;28;€ 5.0M
1644;Uros Racic;22;€ 4.0M
1645;Damián Suárez;32;€ 5.0M
1646;Mathías Olivera;22;€ 7.0M
1647;Pedro Bigas;30;€ 7.0M
1648;Martín Merquelanz;25;€ 7.0M
1649;Joseph Aidoo;24;€ 6.0M
1650;Florian Lejeune;29;€ 20.0M
1651;Xabi Etxeita;32;€ 3.0M
1652;Joselu;30;€ 9.0M
1653;Gonzalo Melero;26;€ 7.0M
1654;Àlex Moreno;27;€ 8.0M
1655;Álvaro Negredo;34;€ 800K
1656;Matheus Fernandes;22;€ 4.0M
1657;Antonio Sanabria;24;€ 7.0M
1658;Yunus Musah;17;€ 4.0M
1659;Ante Palaversa;20;€ 2.0M
1660;Luca Sangalli;25;€ 9.0M
1661;Borja García;29;€ 10.0M
1662;Ángel;33;€ 3.0M
1663;Álex Fernández;27;€ 7.0M
1664;Asier Villalibre;22;€ 5.0M
1665;Adrián;32;€ 2.0M
1666;Unai Vencedor;19;€ 1.0M
1667;Guido Carrillo;29;€ 10.0M
1668;Raúl Navas;32;€ 6.0M
1669;Roberto López;20;€ 4.0M
1670;Juan Miranda;20;€ 2.0M
1671;Hugo Guillamón;20;€ 2.0M
1672;Dani Martín;22;€ 1.0M
1673;Enes Ünal;23;€ 6.0M
1674;Ibai Gómez;30;€ 9.0M
1675;Mikel Balenziaga;32;€ 2.0M
1676;Pere Pons;27;€ 5.0M
1677;Dani Gómez;22;€ 4.0M
1678;Jorge Sáenz;23;€ 4.0M
1679;Víctor Mollejo;19;€ 2.0M
1680;Emiliano Rigoni;27;€ 3.0M
1681;Rodrigo Ely;26;€ 4.0M
1682;Kenedy;24;€ 10.0M
1683;Karim Rekik;25;€ 6.0M
1684;Bobby Adekanye;21;€ 2.0M
1685;Fidel Chaves;30;€ 5.0M
1686;Tomás Pina;32;€ 2.0M
1687;Sergi Guardiola;29;€ 6.0M
1688;Coke;33;€ 2.0M
1689;Recio;29;€ 4.0M
1690;Jordi Masip;31;€ 4.0M
1691;Iván Marcone;30;€ 3.0M
1692;Rodrigo Battaglia;29;€ 3.0M
1693;Erick Cabaco;25;€ 5.0M
1694;Rafa Soares;25;€ 2.0M
1695;Enric Gallego;33;€ 1.0M
1696;Mikel Vesga;27;€ 5.0M
1697;Joel Robles;30;€ 5.0M
1698;Son;26;€ 7.0M
1699;Facundo Roncaglia;33;€ 2.0M
1700;Jeremías Ledesma;27;€ 2.0M
1701;Kévin Rodrigues;26;€ 4.0M
1702;Aridane;31;€ 2.0M
1703;Jorge Pulido;29;€ 6.0M
1704;Chema;28;€ 5.0M
1705;Róber;25;€ 5.0M
1706;David García;26;€ 3.0M
1707;Rubén Duarte;24;€ 4.0M
1708;Antonio Sivera;23;€ 1.0M
1709;Bryan Gil;19;€ 1.0M
1710;John Guidetti;28;€ 900K
1711;Mickaël Malsa;24;€ 4.0M
1712;Youssouf Koné;25;€ 5.0M
1713;Jorge Molina;38;€ 700K
1714;Rubén Alcaraz;29;€ 7.0M
1715;Jon Guridi;25;€ 7.0M
1716;Rubén;36;€ 1.0M
1717;Toño;30;€ 5.0M
1718;Yoel;31;€ 3.0M
1719;José Ángel;30;€ 3.0M
1720;Pablo Insua;26;€ 4.0M
1721;David Costas;25;€ 3.0M
1722;Víctor Rodríguez;31;€ 2.0M
1723;Peru Nolaskoain;21;€ 2.0M
1724;Darwin Machís;27;€ 6.0M
1725;Sergio Postigo;31;€ 3.0M
1726;Édgar Méndez;30;€ 6.0M
1727;Sergio León;31;€ 2.0M
1728;Cala;30;€ 4.0M
1729;Unai García;28;€ 4.0M
1730;Brandon Thomas;25;€ 5.0M
1731;Jon Moncayola;22;€ 1.0M
1732;Iñaki Peña;21;€ 1.0M
1733;Koba Lein;18;€ 700K
1734;Jorge Miramón;31;€ 3.0M
1735;Iñigo Lekue;27;€ 5.0M
1736;Sergio Álvarez;28;€ 5.0M
1737;Kike;30;€ 3.0M
1738;Carlos Clerc;28;€ 4.0M
1739;Antonio Puertas;28;€ 5.0M
1740;Nacho Vidal;25;€ 4.0M
1741;Joaquín;24;€ 3.0M
1742;Jaime Seoane;23;€ 4.0M
1743;Paul Akouokou;22;€ 4.0M
1744;Kenan Kodro;26;€ 5.0M
1745;Thierry Correia;21;€ 4.0M
1746;Víctor Laguardia;30;€ 5.0M
1747;Kike Barja;23;€ 2.0M
1748;Fede San Emeterio;23;€ 2.0M
1749;Martín Aguirregabiría;23;€ 2.0M
1750;Deyverson;29;€ 4.0M
1751;David Timor;30;€ 4.0M
1752;Jon Bautista;25;€ 4.0M
1753;Rubén Sobrino;28;€ 5.0M
1754;Carlos Neva;24;€ 3.0M
1755;Mikel Rico;35;€ 300K
1756;Pablo Hervías;27;€ 4.0M
1757;Jorge De Frutos;23;€ 3.0M
1758;Javi Sánchez;23;€ 3.0M
1759;Renato Tapia;25;€ 2.0M
1760;Oscar Duarte;31;€ 2.0M
1761;Dimitris Siovas;31;€ 3.0M
1762;Luisinho;35;€ 200K
1763;Anaitz Arbilla;33;€ 1.0M
1764;Francisco Portillo;30;€ 3.0M
1765;Lucas Torró;26;€ 3.0M
1766;Kevin;27;€ 4.0M
1767;Bruno;30;€ 4.0M
1768;Sergio Herrera;27;€ 5.0M
1769;Antonio Barragán;33;€ 900K
1770;Tete;24;€ 4.0M
1771;Marcos André;23;€ 4.0M
1772;Idrissa Doumbia;22;€ 2.0M
1773;Víctor Díaz;32;€ 2.0M
1774;Raúl Guti;23;€ 2.0M
1775;Esteban Burgos;28;€ 4.0M
1776;Gastón Silva;26;€ 3.0M
1777;Yan Eteki;22;€ 2.0M
1778;Anthony Lozano;27;€ 3.0M
1779;Jairo;26;€ 2.0M
1780;Fede Vico;26;€ 3.0M
1781;Adrián Marín;23;€ 1.0M
1782;Leandro Chichizola;30;€ 2.0M
1783;Juan Sánchez Miño;30;€ 2.0M
1784;Steven Lucumí;25;€ 1.0M
1785;Cheick Doukouré;27;€ 3.0M
1786;Abdoulay Diaby;29;€ 2.0M
1787;Ramon Azeez;27;€ 4.0M
1788;Kike;23;€ 2.0M
1789;Iván Villar;23;€ 1.0M
1790;Yoshinori Mutô;28;€ 8.0M
1791;Ante Budimir;29;€ 2.0M
1792;Toni Villa;25;€ 4.0M
1793;Burgui;26;€ 2.0M
1794;Javi Galán;25;€ 3.0M
1795;Alberto Soro;21;€ 1.0M
1796;Jens Jønsson;27;€ 2.0M
1797;Salvi Sánchez;29;€ 3.0M
1798;Aitor Ruibal;24;€ 3.0M
1799;Míchel;32;€ 1.0M
1800;Luis Pérez;25;€ 2.0M
1801;Alfonso Espino;28;€ 2.0M
1802;Jaouad El Yamiq;28;€ 2.0M
1803;Germán;33;€ 1.0M
1804;Juan Cruz;28;€ 1.0M
1805;David Juncà;26;€ 3.0M
1806;Quique;30;€ 3.0M
1807;Josan Ferrández;30;€ 1.0M
1808;Nino;40;€ 300K
1809;Javi López;18;€ 600K
1810;Manu García;34;€ 400K
1811;Pere Milla;27;€ 4.0M
1812;Ángel Montoro;32;€ 2.0M
1813;Juan Carlos;29;€ 3.0M
1814;Pedro López;36;€ 100K
1815;Dani Calvo;26;€ 1.0M
1816;Jota;29;€ 2.0M
1817;Dani Raba;24;€ 2.0M
1818;Manu Sánchez;19;€ 1.0M
1819;Ismael Gutiérrez;19;€ 1.0M
1820;Neyder Lozano;26;€ 2.0M
1821;Dimitri Foulquier;27;€ 700K
1822;Rey Manaj;23;€ 2.0M
1823;Luis Rioja;26;€ 3.0M
1824;Óscar Plano;29;€ 2.0M
1825;Jorge Pombo;26;€ 3.0M
1826;Soufiane Chakla;27;€ 600K
1827;Shon Weissman;24;€ 300K
1828;Damian Kadzior;28;€ 3.0M
1829;David Ferreiro;32;€ 1.0M
1830;Pedro Alcalá;31;€ 2.0M
1831;Ximo Navarro;30;€ 2.0M
1832;Raúl García;31;€ 2.0M
1833;Iván Alejo;25;€ 2.0M
1834;Álex Blanco;21;€ 1.0M
1835;Jon Ander Garrido;30;€ 2.0M
1836;Kiko Olivas;31;€ 2.0M
1837;Iza;27;€ 2.0M
1838;Íñigo Pérez;32;€ 600K
1839;José Mari;32;€ 1.0M
1840;Eugeni;26;€ 2.0M
1841;Dani Escriche;22;€ 1.0M
1842;Álvaro Giménez;29;€ 2.0M
1843;Saidy Janko;24;€ 1.0M
1844;Fali;26;€ 1.0M
1845;Yann Bodiger;25;€ 900K
1846;Alberto Perea;29;€ 2.0M
1847;Roberto Correa;27;€ 2.0M
1848;Tachi;22;€ 2.0M
1849;Josema Sánchez;24;€ 2.0M
1850;Quini;30;€ 1.0M
1851;Nano Mesa;25;€ 2.0M
1852;Diego González;25;€ 900K
1853;Marcos Mauro;29;€ 1.0M
1854;Diego Rodríguez;31;€ 2.0M
1855;Koke Vegas;24;€ 1.0M
1856;José Fontán;20;€ 800K
1857;Gonzalo Verdú;31;€ 1.0M
1858;Cifu;29;€ 2.0M
1859;Roberto Olabe;24;€ 800K
1860;Kelechi Nwakali;22;€ 900K
1861;Juan Pérez;24;€ 3.0M
1862;Hugo Duro;20;€ 700K
1863;Filip Malbasic;27;€ 2.0M
1864;Aarón Escandell;24;€ 1.0M
1865;Luismi Sánchez;28;€ 1.0M
1866;José Antonio Martínez;27;€ 1.0M
1867;Jokin Ezkieta;23;€ 1.0M
1868;Carlos Akapo;27;€ 1.0M
1869;Rubén Yáñez;26;€ 400K
1870;Waldo;24;€ 900K
1871;Darío Poveda;23;€ 500K
1872;Sergio González;23;€ 600K
1873;Lucas Boyé;24;€ 1.0M
1874;Kevin Sibille;21;€ 400K
1875;David Gil;26;€ 300K
1876;Nuke Mfulu;26;€ 600K
1877;Javi Martínez;20;€ 200K
1878;Kepa Uriarte;18;€ 100K
1879;Luismi Quezada;24;€ 100K
1880;Lucas;23;€ 400K
1881;Unai Vélez;18;€ 80.0K
1882;Beñat De Jesús;18;€ 60.0K
1883;Íñigo López;18;€ 100K
1884;Íñigo Gomeza;18;€ 80.0K
1885;Julio Gracia;22;€ 200K
1886;Asier Grande;18;€ 40.0K
1887;Adrián Trespalacios;18;€ 30.0K
1888;Marc Roca;23;€ 20.0M
1889;Charles Aránguiz;31;€ 20.0M
1890;Lukasz Piszczek;35;€ 900K
1891;Andrej Kramaric;29;€ 20.0M
1892;Jiri Pavlenka;28;€ 8.0M
1893;Lars Bender;31;€ 9.0M
1894;Matteo Guendouzi;21;€ 30.0M
1895;Karim Bellarabi;30;€ 20.0M
1896;Amine Harit;23;€ 10.0M
1897;Dan-Axel Zagadou;21;€ 7.0M
1898;Diadié Samassékou;24;€ 10.0M
1899;Kerem Demirbay;27;€ 20.0M
1900;Nadiem Amiri;23;€ 10.0M
1901;Alexander Sørloth;24;€ 10.0M
1902;Kevin Kampl;29;€ 20.0M
1903;Exequiel Palacios;21;€ 10.0M
1904;Xaver Schlager;22;€ 8.0M
1905;Josip Brekalo;22;€ 5.0M
1906;Emil Forsberg;28;€ 10.0M
1907;Roman Bürki;29;€ 20.0M
1908;Christopher Nkunku;22;€ 10.0M
1909;Ibrahima Konaté;21;€ 7.0M
1910;Matthias Ginter;26;€ 10.0M
1911;Denis Zakaria;23;€ 9.0M
1912;Dodi Lukebakio;22;€ 8.0M
1913;Marin Pongracic;22;€ 7.0M
1914;Thomas Delaney;28;€ 20.0M
1915;Jude Bellingham;17;€ 3.0M
1916;Kevin Trapp;30;€ 20.0M
1917;Sebastian Rudy;30;€ 20.0M
1918;Maximilian Arnold;26;€ 9.0M
1919;Niklas Stark;25;€ 9.0M
1920;Krzysztof Piatek;25;€ 20.0M
1921;Kevin Mbabu;25;€ 8.0M
1922;Matija Nastasic;27;€ 7.0M
1923;Edmond Tapsoba;21;€ 9.0M
1924;Jacob Bruun Larsen;21;€ 8.0M
1925;Alassane Pléa;27;€ 20.0M
1926;Manuel Akanji;25;€ 20.0M
1927;Jonas Hector;30;€ 10.0M
1928;Florian Neuhaus;23;€ 9.0M
1929;Arne Maier;21;€ 4.0M
1930;Péter Gulácsi;30;€ 10.0M
1931;Valentino Lazaro;24;€ 9.0M
1932;Nordi Mukiele;22;€ 3.0M
1933;Felix Uduokhai;22;€ 7.0M
1934;Djibril Sow;23;€ 7.0M
1935;Amadou Haidara;22;€ 4.0M
1936;Yussuf Poulsen;26;€ 20.0M
1937;Robert Skov;24;€ 10.0M
1938;Marcus Thuram;22;€ 10.0M
1939;Daniel Caligiuri;31;€ 10.0M
1940;Sven Bender;31;€ 5.0M
1941;Lukas Klostermann;24;€ 9.0M
1942;Max Kruse;32;€ 3.0M
1943;Ridle Baku;22;€ 4.0M
1944;André Silva;24;€ 20.0M
1945;Angeliño;23;€ 20.0M
1946;Breel Embolo;23;€ 8.0M
1947;Marius Wolf;25;€ 10.0M
1948;Javairo Dilrosun;22;€ 7.0M
1949;Nico Elvedi;23;€ 6.0M
1950;Yunus Malli;28;€ 5.0M
1951;Wendell;27;€ 8.0M
1952;Ishak Belfodil;28;€ 7.0M
1953;Tyler Adams;21;€ 5.0M
1954;Florian Grillitsch;24;€ 9.0M
1955;Thomas Meunier;28;€ 10.0M
1956;Sébastiaan Bornauw;21;€ 4.0M
1957;Ron-Robert Zieler;31;€ 2.0M
1958;Filip Kostic;27;€ 20.0M
1959;Lucas Alario;27;€ 10.0M
1960;Milot Rashica;24;€ 8.0M
1961;Hannes Wolf;21;€ 6.0M
1962;Ryan Sessegnon;20;€ 20.0M
1963;Maximilian Eggestein;23;€ 9.0M
1964;Davie Selke;25;€ 5.0M
1965;Ramy Bensebaïni;25;€ 9.0M
1966;Jérôme Roussillon;27;€ 10.0M
1967;Suat Serdar;23;€ 6.0M
1968;Santiago Arias;28;€ 10.0M
1969;Jean-Philippe Mateta;23;€ 8.0M
1970;Munas Dabbur;28;€ 10.0M
1971;Konrad Laimer;23;€ 8.0M
