	Player	Position	Comp	Age	Min	Goals	GoalsPer90	Asists	Asists	GoalAstPer90	TacklesWon	TklDribbling	Blocks	SuccPressRatio	CompletedPasses	PassCompRatio	TotDistPass	ProgDistPass	90s	SCA	SCA90	ShootPass	ShootDrib	GCA	GCA90	AssistPass	AssistDrib	Crosses	PenaltyWon	AerialWonRate	ShootOnTarget	ShootPer90	GoalPerShoot
6513	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6514	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6515	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6516	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6517	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6518	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6519	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6520	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6521	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6522	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6523	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6524	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6525	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6526	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6527	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6528	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6529	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6530	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6531	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6532	Giangiacomo Magnani	DF,MF	it Serie A	23	115	0	0.00	0	0.00	0.00	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6533	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6534	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6535	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6536	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6537	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6538	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6539	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6540	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6541	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6542	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6543	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6544	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6545	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6546	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6547	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6548	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	3	16.7	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6549	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6550	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6551	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6552	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6553	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6554	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6555	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6556	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	29	78.4	653	178	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6557	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6558	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6559	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6560	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.3	0	0.00	0	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6561	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	1	1.57	0.00
6562	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	100.0	2	1.24	0.50
6563	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	1	1.57	0.00
6564	Giangiacomo Magnani	DF	it Serie A	23	145	1	0.62	0	0.00	0.62	0	0	4	40.0	65	84.4	1669	430	1.6	1	0.62	1	0	0	0.00	0	0	0	0	90.9	2	1.24	0.50
6565	Hugo Magnetti	MF	fr Ligue 1	21	236	0	0.00	0	0.00	0.00	11	3	8	40.7	130	80.7	2609	729	2.6	12	4.58	9	1	0	0.00	0	0	6	0	60.0	2	2.29	0.00
6566	Harry Maguire	DF	eng Premier League	26	3,420	1	0.03	1	0.03	0.05	27	14	45	37.5	2127	88.5	46934	11790	38.0	31	0.82	28	0	0	0.00	0	0	1	0	73.7	8	0.84	0.03
6567	Abdallahi Mahmoud	MF	es La Liga	19	152	0	0.00	0	0.00	0.00	5	1	1	30.8	33	86.8	462	94	1.7	0	0.00	0	0	0	0.00	0	0	0	0	57.1	0	0.00	
6568	Riyad Mahrez	FW	eng Premier League	28	1,944	11	0.51	9	0.42	0.93	21	13	38	28.2	1009	84.9	18604	4416	21.6	140	6.48	90	20	31	1.44	17	5	52	5	30.3	30	3.38	0.14
6569	Thiago Maia	MF	fr Ligue 1	22	48	0	0.00	0	0.00	0.00	3	0	0	38.5	31	79.5	506	114	0.5	1	1.87	1	0	0	0.00	0	0	0	0	50.0	0	0.00	
6570	Arne Maier	MF	de Bundesliga	20	535	0	0.00	0	0.00	0.00	2	3	9	27.6	271	83.6	6060	1497	5.9	19	3.20	13	1	0	0.00	0	0	7	0	22.2	3	1.01	0.00
6571	Habib Maïga	MF	fr Ligue 1	23	2,266	1	0.04	2	0.08	0.12	68	27	58	25.3	1059	80.9	20356	4718	25.2	38	1.51	30	2	9	0.36	7	0	39	0	50.7	9	1.19	0.03
6572	Mike Maignan	GK	fr Ligue 1	23	2,520	0	0.00	0	0.00	0.00	0	0	0	66.7	491	64.4	16860	12214	28.0	3	0.11	2	0	0	0.00	0	0	0	0	100.0	0	0.04	0.00
6573	Ainsley Maitland-Niles	DF	eng Premier League	21	1,386	0	0.00	2	0.13	0.13	27	14	29	28.3	825	82.6	14121	4762	15.4	21	1.36	17	1	3	0.19	2	0	20	0	51.9	1	0.26	0.00
6574	Josh Maja	FW	fr Ligue 1	20	735	6	0.73	2	0.24	0.98	5	2	11	22.3	175	85.0	2268	363	8.2	22	2.69	14	3	3	0.37	2	0	0	0	17.9	12	2.20	0.33
6575	Abdul Majeed Waris	FW	fr Ligue 1	27	371	2	0.49	1	0.24	0.73	6	4	3	36.7	65	73.0	837	240	4.1	6	1.46	5	1	2	0.49	2	0	4	0	16.7	2	1.70	0.29
6576	Žan Majer	MF	it Serie A	27	1,664	1	0.05	1	0.05	0.11	20	10	42	22.9	593	79.5	10548	2677	18.5	42	2.27	37	1	4	0.22	2	0	24	1	47.8	8	1.08	0.05
6577	Jean-Victor Makengo	MF,FW	fr Ligue 1	21	988	2	0.18	0	0.00	0.18	10	3	10	29.4	373	83.4	5936	1495	11.0	22	2.00	19	2	0	0.00	0	0	6	0	9.5	4	1.28	0.14
6578	Nemanja Maksimović	MF	es La Liga	24	2,895	2	0.06	0	0.00	0.06	34	15	47	29.5	534	73.2	8990	2047	32.2	37	1.15	29	0	3	0.09	3	0	5	0	44.6	11	0.99	0.06
6579	Nikola Maksimović	DF	it Serie A	27	1,799	1	0.05	1	0.05	0.10	21	16	31	23.9	1287	92.7	27053	9103	20.0	13	0.65	12	0	1	0.05	1	0	12	0	66.1	1	0.20	0.25
6580	Kévin Malcuit	DF	it Serie A	28	256	0	0.00	0	0.00	0.00	5	5	8	20.0	142	81.6	2591	588	2.8	3	1.05	2	1	0	0.00	0	0	13	0	60.0	0	0.70	0.00
6581	Daniel Maldini	FW	it Serie A	17	27	0	0.00	0	0.00	0.00	0	0	1	14.3	13	81.3	176	19	0.3	0	0.00	0	0	0	0.00	0	0	0	0	0.0	0	0.00	
6582	Ruslan Malinovskyi	MF,FW	it Serie A	26	1,535	8	0.47	3	0.18	0.64	15	8	16	28.5	779	79.6	15367	3870	17.1	115	6.74	68	18	9	0.53	7	0	33	3	35.1	27	4.57	0.10
6583	Yunus Mallı	FW,MF	de Bundesliga	27	673	0	0.00	1	0.13	0.13	4	6	8	23.6	152	71.4	2097	495	7.5	15	2.01	10	0	2	0.27	2	0	4	0	27.3	4	1.34	0.00
6584	Hugo Mallo	DF	es La Liga	28	1,965	0	0.00	1	0.05	0.05	28	20	53	27.1	998	76.7	18006	7121	21.8	28	1.28	22	2	2	0.09	1	1	59	0	60.0	3	0.27	0.00
6585	Streli Mamba	FW	de Bundesliga	25	1,521	5	0.30	2	0.12	0.41	11	5	15	23.5	212	76.8	3088	459	16.9	26	1.54	15	4	3	0.18	2	0	4	1	38.6	10	1.48	0.20
6586	Hianga Mananga Mbock	MF	fr Ligue 1	19	141	1	0.64	0	0.00	0.64	0	0	2	46.2	73	89.0	1609	248	1.6	1	0.64	1	0	0	0.00	0	0	0	0	90.0	1	2.55	0.25
6587	Vincent Manceau	DF	fr Ligue 1	30	1,980	0	0.00	0	0.00	0.00	29	22	47	34.8	1063	80.7	19030	8487	22.0	30	1.36	26	1	1	0.05	1	0	41	0	51.5	2	0.36	0.00
6588	Gianluca Mancini	DF,MF	it Serie A	23	2,740	1	0.03	0	0.00	0.03	35	15	49	28.5	1500	89.3	31011	10073	30.4	24	0.79	20	0	5	0.16	4	0	4	0	75.7	5	0.66	0.05
6589	Marco Mancosu	MF,FW	it Serie A	30	2,440	14	0.52	2	0.07	0.59	17	6	31	23.1	682	75.1	11167	2764	27.1	71	2.62	59	4	5	0.18	3	1	40	2	39.0	22	2.66	0.07
6590	Steve Mandanda	GK	fr Ligue 1	34	2,370	0	0.00	0	0.00	0.00	0	0	0	33.3	575	67.8	17828	10728	26.3	1	0.04	1	0	0	0.00	0	0	0	0	0.0	0	0.00	
6591	Reinildo Mandava	DF	fr Ligue 1	25	1,110	0	0.00	0	0.00	0.00	32	25	27	32.4	523	79.7	8794	2821	12.3	14	1.14	12	1	0	0.00	0	0	21	0	51.5	0	0.16	0.00
6592	Aïssa Mandi	DF	es La Liga	27	2,576	0	0.00	0	0.00	0.00	16	16	46	30.9	1626	91.5	35309	11742	28.6	17	0.59	17	0	1	0.03	1	0	3	0	56.4	3	0.35	0.00
6593	Rolando Mandragora	MF	it Serie A	22	2,050	0	0.00	2	0.09	0.09	33	20	52	24.7	788	81.0	14239	3960	22.8	69	3.03	47	1	4	0.18	4	0	26	0	50.0	7	2.41	0.00
6594	Sadio Mané	FW	eng Premier League	27	2,747	18	0.59	7	0.23	0.82	35	15	30	30.4	933	80.3	15604	3867	30.5	109	3.57	85	6	16	0.52	9	0	52	2	30.7	36	2.49	0.24
6595	Eliaquim Mangala	DF	es La Liga	28	673	0	0.00	0	0.00	0.00	4	3	11	36.4	254	87.9	5597	1507	7.5	0	0.00	0	0	0	0.00	0	0	0	0	66.7	0	0.13	0.00
6596	Thomas Mangani	MF	fr Ligue 1	32	1,871	2	0.10	2	0.10	0.19	23	13	29	24.5	1073	78.6	19695	7316	20.8	78	3.75	50	3	2	0.10	1	0	47	0	40.0	6	1.44	0.07
6597	Massimiliano Mangraviti	DF	it Serie A	21	972	0	0.00	0	0.00	0.00	5	4	22	21.7	365	82.4	7987	3765	10.8	5	0.46	4	0	0	0.00	0	0	8	0	48.8	0	0.28	0.00
6598	Kostas Manolas	DF	it Serie A	28	2,176	4	0.17	0	0.00	0.17	17	15	34	33.5	1369	92.8	29211	7282	24.2	5	0.21	4	0	0	0.00	0	0	1	0	65.3	8	0.70	0.24
6599	Javier Manquillo	DF	eng Premier League	25	1,599	0	0.00	1	0.06	0.06	32	24	35	32.3	452	71.5	7517	2822	17.8	14	0.79	12	0	3	0.17	1	0	34	0	45.0	0	0.06	0.00
6600	Giacomo Manzari	FW,MF	it Serie A	18	16	0	0.00	0	0.00	0.00	0	0	0	16.7	4	57.1	40	19	0.2	0	0.00	0	0	0	0.00	0	0	0	0	50.0	0	0.00	
6601	Myziane Maolida	FW,MF	fr Ligue 1	20	675	1	0.13	2	0.27	0.40	11	5	13	25.7	257	81.1	3714	1006	7.5	28	3.73	20	3	2	0.27	2	0	12	0	33.3	5	2.13	0.06
6602	Faitout Maouassa	DF	fr Ligue 1	21	1,803	3	0.15	1	0.05	0.20	29	18	38	27.3	760	76.3	13766	5230	20.0	27	1.35	18	5	2	0.10	1	1	48	0	60.0	7	0.60	0.25
6603	Fernando Marçal	DF	fr Ligue 1	30	829	0	0.00	1	0.11	0.11	17	12	20	44.1	620	82.4	11685	3973	9.2	17	1.85	14	0	3	0.33	1	0	26	0	80.0	1	0.54	0.00
6604	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	6	1.18	0.06
6605	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	2	0.48	0.00
6606	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	6	1.18	0.06
6607	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	2	0.48	0.00
6608	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	6	1.18	0.06
6609	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	2	0.48	0.00
6610	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	6	1.18	0.06
6611	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	2	0.48	0.00
6612	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	6	1.18	0.06
6613	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	2	0.48	0.00
6614	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	6	1.18	0.06
6615	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	2	0.48	0.00
6616	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	6	1.18	0.06
6617	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	2	0.48	0.00
6618	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	6	1.18	0.06
6619	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	12	10	21	32.8	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	2	0.48	0.00
6620	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	6	1.18	0.06
6621	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	2	0.48	0.00
6622	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	6	1.18	0.06
6623	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	2	0.48	0.00
6624	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	6	1.18	0.06
6625	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	2	0.48	0.00
6626	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	6	1.18	0.06
6627	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	2	0.48	0.00
6628	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	6	1.18	0.06
6629	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	2	0.48	0.00
6630	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	6	1.18	0.06
6631	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	2	0.48	0.00
6632	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	6	1.18	0.06
6633	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	2	0.48	0.00
6634	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	6	1.18	0.06
6635	Marcelo	DF	es La Liga	31	1,296	1	0.07	2	0.14	0.21	16	10	24	38.0	987	87.1	23003	6567	16.7	8	0.48	7	0	0	0.00	0	0	1	0	78.1	2	0.48	0.00
6636	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	6	1.18	0.06
6637	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	52	2	58.8	2	0.48	0.00
6638	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	6	1.18	0.06
6639	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	14.4	50	3.47	45	2	7	0.49	5	0	1	0	78.1	2	0.48	0.00
6640	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	6	1.18	0.06
6641	Marcelo	DF	fr Ligue 1	32	1,503	0	0.00	0	0.00	0.00	12	10	21	32.8	882	82.4	15091	5665	16.7	8	0.48	7	0	0	0.00	0	0	52	2	58.8	2	0.48	0.00
